release_code,release_id,release_title,genre,release_date,release_id,release_label,track_number,track_title,artists,isrc,audio_file,splits,primary_artist,producers,mastering,composers,grapic_design,ipi_numbers
COMMA.001,3626535,"Hovland, Marensius - Iris EP",House,2025-02-12,3626535,COMMA.records,1,Transit (Original Mix),"Hovland, Marensius",SE5BU2544210,"Hovland, Marensius - Transit (Master).wav",COMMA. (100%),"Hovland, Marensius","Herman Hovland, Herman Marensius Gjersøe, Bendik Nesheim",Herman Hovland,"Herman Hovland, Herman Marensius Gjersøe, Bendik Nesheim","Ola Vatten, Bendik Nesheim","HH:1259552821, HM: 1133476962, BN: 1259553034"
COMMA.001,,"Hovland, Marensius - Iris EP",House,2025-02-12,3626535,COMMA.records,2,Ekeberg (Original Mix),"Hovland, Marensius",SE5BU2544211,"Hovland, Marensius - Ekeberg (Original Mix).wav",COMMA. (100%),"Hovland, Marensius","Herman Hovland, Herman Marensius Gjersøe, Bendik Nesheim",Herman Hovland,"Herman Hovland, Herman Marensius Gjersøe, Bendik Nesheim","Ola Vatten, Bendik Nesheim","HH:1259552821, HM: 1133476962, BN: 1259553034"
COMMA.001,,"Hovland, Marensius - Iris EP",House,2025-02-12,3626535,COMMA.records,3,Iris (Original Mix),"Hovland, Marensius",SE5BU2544212,"Hovland, Marensius - Iris (Original Mix).wav",COMMA. (100%),"Hovland, Marensius","Herman Hovland, Herman Marensius Gjersøe, Bendik Nesheim",Herman Hovland,"Herman Hovland, Herman Marensius Gjersøe, Bendik Nesheim","Ola Vatten, Bendik Nesheim","HH:1259552821, HM: 1133476962, BN: 1259553034"
COMMA.001,,"Hovland, Marensius - Iris EP",House,2025-02-12,3626535,COMMA.records,4,Transit (Radio Edit),"Hovland, Marensius",SE5BU2544213,"Hovland, Marensius - Transit (Edit) (Master).wav",COMMA. (100%),"Hovland, Marensius","Herman Hovland, Herman Marensius Gjersøe, Bendik Nesheim",Herman Hovland,"Herman Hovland, Herman Marensius Gjersøe, Bendik Nesheim","Ola Vatten, Bendik Nesheim","HH:1259552821, HM: 1133476962, BN: 1259553034"
COMMA.001,,"Hovland, Marensius - Iris EP",House,2025-02-12,3626535,COMMA.records,5,Iris (Radio Edit),"Hovland, Marensius",SE5BU2544214,"Hovland, Marensius - Iris (Radio Edit).wav",COMMA. (100%),"Hovland, Marensius","Herman Hovland, Herman Marensius Gjersøe, Bendik Nesheim",Herman Hovland,"Herman Hovland, Herman Marensius Gjersøe, Bendik Nesheim","Ola Vatten, Bendik Nesheim","HH:1259552821, HM: 1133476962, BN: 1259553034"
COMMA.002,3693918,Hovland - Grosso,House,2025-03-13,3693918,COMMA.records,1,Grosso,Hovland,SE6XY2512680,Hovland - Grosso.wav,COMMA. (100%),Hovland,"Herman Hovland, Bendik Nesheim",Herman Hovland,Herman Hovland,"Bendik Nesheim, Ola Vatten","HH:1259552821, BN: 1259553034"
COMMA.003,3712639,Marensius - For This Moment,House,2025-03-22,3712639,COMMA.records,1,For This Moment,Marensius,SE6XY2525973,Marensius - For This Moment(3).wav,COMMA. (100%),Marensius,"Herman Marensius Gjersøe, Herman Hovland, Bendik Nesheim",Herman Hovland,Marensius,"Bendik Nesheim, Ola Vatten","HM: 1133476962, HH:1259552821, BN: 1259553034"
COMMA.004,3751546,Violand - Lamta,House,2025-04-16,3751546,COMMA.records,1,Lamta,Violand,SE6XY2570444,Violand - Lamta.wav,COMMA. (100%),Violand,"Herman Hovland, Jørgen Vigre, Bendik Nesheim",Herman Hovland,"Herman Hovland, Jørgen Vigre","Bendik Nesheim, Ola Vatten","HM: 1133476962, JV: 1270611973, BN: 1259553034"
COMMA.005,3825337,DECO 5000 - Decosystema Vol. 1,Trance,2025-06-06,3825337,COMMA.records,1,Decosystema,DECO 5000,SE6XX2541573,DECO 5000 - Decosystema.wav,COMMA. (100%),DECO 5000,"Herman Marensius Gjersøe, Herman Hovland, Bendik Nesheim",Herman Hovland,"Herman Marensius Gjersøe, Herman Hovland, Bendik Nesheim","Ola Vatten, Bendik Nesheim","HM: 1133476962, HH:1259552821, BN: 1259553034"
COMMA.005,,DECO 5000 - Decosystema Vol. 1,Trance,2025-06-06,3825337,COMMA.records,2,MOMENTS,DECO 5000,SE6XX2541574,DECO 5000 - MOMENTS.wav,COMMA. (100%),DECO 5000,"Herman Marensius Gjersøe, Herman Hovland, Bendik Nesheim",Herman Hovland,"Herman Marensius Gjersøe, Herman Hovland, Bendik Nesheim","Ola Vatten, Bendik Nesheim","HM: 1133476962, HH:1259552821, BN: 1259553034"
COMMA.005,,DECO 5000 - Decosystema Vol. 1,Trance,2025-06-06,3825337,COMMA.records,3,Sublunar,DECO 5000,SE6XX2541575,DECO 5000 - Sublunar.wav,COMMA. (100%),DECO 5000,"Herman Marensius Gjersøe, Herman Hovland, Bendik Nesheim",Herman Hovland,"Herman Marensius Gjersøe, Herman Hovland, Bendik Nesheim","Ola Vatten, Bendik Nesheim","HM: 1133476962, HH:1259552821, BN: 1259553034"
COMMA.005,,DECO 5000 - Decosystema Vol. 1,Trance,2025-06-06,3825337,COMMA.records,4,Beating Heart,DECO 5000,SE6XX2541576,DECO 5000 - Beatingheart.wav,COMMA. (100%),DECO 5000,"Herman Marensius Gjersøe, Herman Hovland, Bendik Nesheim",Herman Hovland,"Herman Marensius Gjersøe, Herman Hovland, Bendik Nesheim","Ola Vatten, Bendik Nesheim","HM: 1133476962, HH:1259552821, BN: 1259553034"
COMMA.005,,DECO 5000 - Decosystema Vol. 1,Trance,2025-06-06,3825337,COMMA.records,5,Decosystema (Hovland Remix),"DECO 5000, Hovland",SE6XX2541577,DECO 5000 - Decosystema (Hovland Remix).wav,COMMA. (100%),"DECO 5000, Hovland","Herman Marensius Gjersøe, Herman Hovland, Bendik Nesheim",Herman Hovland,"Herman Marensius Gjersøe, Herman Hovland, Bendik Nesheim","Ola Vatten, Bendik Nesheim","HH: 1259552821, HM 1133476962, BN: 1259553034 "
COMMA.005,,DECO 5000 - Decosystema Vol. 1,Trance,2025-06-06,3825337,COMMA.records,6,Decosystema (TRUSSEL Remix),"DECO 5000, TRUSSEL",SE6XX2541578,DECO 5000 - Decosystema (TRUSSEL Remix).wav,COMMA. (100%),"DECO 5000, TRUSSEL","Herman Marensius Gjersøe, Truls Slettvoll",Herman Hovland,"Herman Marensius Gjersøe, Truls Slettvoll","Ola Vatten, Bendik Nesheim","HM: 1133476962, TS:1215130904, HH: 1259552821"
